id,A,B,C,D,E,F,G,H,I
0684904207,0.00,0.73,0.02,0.00,0.01,0.00,0.11,0.10,0.02
0478307446,0.00,0.00,0.04,0.00,0.00,0.02,0.94,0.00,0.00
1096522993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1535956252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.11
2052988925,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0924074397,0.62,0.03,0.18,0.00,0.04,0.00,0.03,0.07,0.01
1313796140,0.01,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00
1628307362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
2119471672,0.00,0.00,0.00,0.00,0.66,0.00,0.34,0.00,0.00
1069836896,0.06,0.00,0.65,0.00,0.00,0.00,0.00,0.27,0.01
1774496531,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00
0344382857,0.00,0.00,0.00,0.00,0.00,0.97,0.01,0.01,0.01
1427305157,0.00,0.00,0.68,0.00,0.01,0.02,0.28,0.01,0.00
0710495037,0.03,0.00,0.21,0.53,0.04,0.03,0.04,0.02,0.10
0658518749,0.16,0.54,0.01,0.26,0.00,0.01,0.00,0.02,0.00
0493801006,0.01,0.01,0.01,0.01,0.00,0.00,0.92,0.04,0.00
0423317568,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0478993889,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.89,0.00
0112644686,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0137859146,0.00,0.00,0.00,0.00,0.00,0.03,0.97,0.00,0.00
1609184005,0.02,0.00,0.00,0.00,0.00,0.92,0.01,0.00,0.05
1233462213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
1362177504,0.00,0.02,0.00,0.00,0.01,0.56,0.21,0.16,0.03
0130761301,0.06,0.00,0.00,0.78,0.00,0.00,0.00,0.02,0.14
0629892543,0.00,0.00,0.20,0.00,0.01,0.06,0.71,0.01,0.00
0810481193,0.95,0.00,0.04,0.00,0.00,0.00,0.00,0.01,0.00
0480482863,0.00,0.00,0.04,0.00,0.00,0.91,0.05,0.00,0.00
0167939166,0.00,0.03,0.39,0.00,0.14,0.07,0.20,0.02,0.15
1106100753,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
